装备名称,属性,值
A-10雷电二式攻击机,火箭,"四個 LAU-61／LAU-68火箭莢艙（每個含19x／7x Hydra 70毫米火箭彈或APKWS II導引火箭）
四個 LAU-5003火箭莢艙（每個含19x CRV7 70毫米火箭彈）

四個 LAU-10火箭莢艙（每個含4x 127毫米祖尼火箭）"
A-10雷电二式攻击机,飛彈,六枚AGM-65小牛空對地飛彈兩枚AIM-9L響尾蛇飛彈AGM-114地獄火飛彈
A-10雷电二式攻击机,炸彈,"Mk 82、Mk 83、Mk 84通用型傳統炸彈Mk-77燃燒彈BLU-1、BLU-27/B Rockeye II, Mk20, BL-755及CBU-52/71/87/89/CBU-97集束炸彈鋪路系列雷射制導炸彈聯合直接攻擊彈藥（A-10C）GBU-28（A-10C）風偏修正彈藥撒佈器 (A-10C)等"
A-10雷电二式攻击机,其他,"掛載點：8個機翼和3個機腹（共可酬載7,260kg），可掛載：
诺斯洛普·格鲁门的Litening（英语：Litening）標定莢艙或洛克希德·馬丁的狙击手先进瞄准吊舱
2x 600加侖副油箱
SUU-42A/A热诱饵弹及干擾金屬箔片投放器

AN/ALQ-131 or AN/ALQ-184電子干擾莢艙"
C-130运输机,类型,短距起降、軍用運輸機
C-130运输机,制造商,洛克希德洛克希德·馬丁
C-130运输机,状态,量產中
C-130运输机,主要用户,美國空軍（514架）  英國皇家空軍（91架）  加拿大皇家空軍（32架）  澳大利亞皇家空軍（24架）中華民國空軍（20架）  巴基斯坦空軍（16架）
C-130运输机,制造数量,"2,262架（2006年）"
C-130运输机,单位成本,"1,190萬美元（C-130E）3,010萬美元（C-130H）4,850萬美元（C-130J）"
C-130运输机,起役日期,1956年12月
C-130运输机,首飞,1954年8月23日
C-130运输机,衍生型,AC-130空中砲艇EC-130（英语：EC-130）HC-130（英语：HC-130）KC-130（英语：KC-130）LC-130（英语：LC-130）MC-130（英语：MC-130）RC-130（英语：RC-130）C-130J（英语：C-130J）等
MQ-9收割者侦察机,类型,無人航空載具（UAV）
MQ-9收割者侦察机,制造商,通用原子航空系统
MQ-9收割者侦察机,状态,現役
MQ-9收割者侦察机,主要用户,美國空軍 英國皇家空軍
MQ-9收割者侦察机,制造数量,316＋
MQ-9收割者侦察机,计划成本,118億美元
MQ-9收割者侦察机,单位成本,"1,690萬美元（2013年時的交機成本（英语：Flyaway cost））"
MQ-9收割者侦察机,生产年份,2002年－
MQ-9收割者侦察机,起役日期,2000年至今
MQ-9收割者侦察机,首飞,2001年2月2日
MQ-9收割者侦察机,发展自,MQ-1掠奪者偵察機
MQ-9收割者侦察机,发展为,复仇者无人驾驶战斗机
AH-64阿帕契直升机,其他名称,坦克殺手
AH-64阿帕契直升机,类型,攻擊直升機
AH-64阿帕契直升机,原产国,美国
AH-64阿帕契直升机,制造商,休斯飛機公司（1975－1984）麥道公司（1984－1997）富士重工業（1995年12月）波音防務（1997－目前）
AH-64阿帕契直升机,状态,現役
AH-64阿帕契直升机,主要用户,美國陸軍  陸上自衛隊 荷蘭空軍 以色列空軍 新加坡共和國空軍 中華民國陸軍 埃及空軍 英國陸軍
AH-64阿帕契直升机,制造数量,"2,400架（2020年4月）"
AH-64阿帕契直升机,单位成本,"AH-64A：2,000萬美元（2007）AH-64D：3,300萬美元（2010）AH-64E：3,550萬美元（2014）"
AH-64阿帕契直升机,生产年份,1983年－至今
AH-64阿帕契直升机,起役日期,1986年4月
AH-64阿帕契直升机,首飞,1975年9月30日
AH-64阿帕契直升机,衍生型,阿帕奇AH MK1直昇機 / WAH-64
E-3空中预警机,类型,空中預警機
E-3空中预警机,制造商,波音整體防衛公司 諾斯洛普·格魯門電子系統公司(雷達部分)
E-3空中预警机,主要用户,美國空軍 英國皇家空軍法國空軍北大西洋公約組織
E-3空中预警机,制造数量,68架
E-3空中预警机,生产年份,1991年
E-3空中预警机,起役日期,1977年3月
E-3空中预警机,首飞,1975年10月
E-3空中预警机,发展自,波音707-320
